H  1 923.150A
H  1 926.226A
H  1 930.748A
H  1 937.804A
H  1 949.743A
H  1 972.537A
H  1 1025.72A
H  1 1215.67A
H  1 3797.90A
H  1 3835.38A
H  1 3889.05A
H  1 3970.07A
H  1 4101.73A
H  1 4340.46A
H  1 4861.32A
H  1 6562.80A
H  1 9014.91A
H  1 9229.02A
H  1 9545.97A
H  1 1.00494m
H  1 1.09381m
H  1 1.28181m
H  1 1.73621m
H  1 1.81741m
H  1 1.87510m
H  1 1.94456m
H  1 2.16553m
H  1 2.62515m
H  1 3.03837m
H  1 3.29609m
H  1 3.73954m
H  1 4.05113m
H  1 4.65251m
H  1 5.12726m
H  1 5.90660m
H  1 7.45782m
H  1 7.50045m
H  1 12.3685m
He 1 3888.64A
He 1 4471.50A
He 1 5875.66A
He 1 6678.15A
He 1 7065.25A
He 1 1.08291m
He 1 1.08303m
He 2 1640.41A
He 2 4685.68A
C  1 4621.57A
C  1 8727.13A
C  1 9850.00A
C  1 370.269m
C  1 609.590m
C  3 1906.68A
C  3 1908.73A
C  2 2323.50A
C  2 2324.69A
C  2 2325.40A
C  2 2326.93A
C  2 2328.12A
C  2 157.636m
C  4 1548.19A
C  4 1550.77A
N  3 1750.00A
N  2 2142.77A
N  1 5200.26A
N  2 5754.61A
N  2 6548.05A
N  2 6583.45A
N  3 57.3238m
N  2 121.769m
N  2 205.283m
O  1 5577.34A
O  1 6300.30A
O  1 6363.78A
O  1 63.1679m
O  1 145.495m
O  2 2471.00A
O  2 3726.03A
O  2 3728.81A
O  2 7323.00A
O  2 7332.00A
O  3 1660.81A
O  3 1666.15A
O  3 2320.95A
O  3 4363.21A
O  3 4958.91A
O  3 5006.84A
O  3 51.8004m
O  3 88.3323m
Al 2 2660.35A
Al 2 2669.15A
Mg 2 2795.53A
Mg 2 2802.71A
S  2 4068.60A
S  2 4076.35A
S  2 6716.44A
S  2 6730.82A
Cl 2 8578.70A
Cl 2 9123.60A
S  2 1.03364m
Fe 2 1.25668m
Ar 2 6.98337m
Cl 2 14.3639m
P  2 32.8629m
Si 2 34.8046m
P  2 60.6263m
Al 3 1854.72A
Al 3 1862.79A
Si 3 1882.71A
Si 3 1892.03A
Ar 3 3109.18A
S  3 3721.63A
Ar 3 5191.82A
Cl 3 5517.71A
Cl 3 5537.87A
S  3 6312.06A
Ar 3 7135.79A
Ar 3 7751.11A
S  3 9068.62A
S  3 9530.62A
Ar 3 8.98898m
Ne 2 12.8101m
S  3 18.7078m
Ar 3 21.8253m
S  3 33.4704m
S  4 1406.02A
S  4 10.5076m
Ar 4 4711.26A
Ar 4 4740.12A
Ar 4 7332.15A
Ne 3 1814.56A
Ne 3 3342.18A
Ne 3 3868.76A
Ne 3 3967.47A
Ne 3 15.5509m
Ne 3 36.0036m
Ne 4 2424.28A
Ne 4 4720.00A
